City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Altay,CN,2021-12-04 02:50:33,47.8667,88.1167,28.0,85,100,1.77
211,Vohibinany,MG,2021-12-04 02:50:33,-17.35,49.0333,71.55,91,68,0.98
212,Lagoa,PT,2021-12-04 02:50:33,39.05,-27.9833,63.93,85,100,11.39
213,Sidi Ali,DZ,2021-12-04 02:50:34,36.0998,0.4206,48.04,75,0,7.52
214,Genhe,CN,2021-12-04 02:50:34,50.7833,121.5167,10.87,85,100,4.34
215,Buchanan,LR,2021-12-04 02:50:34,5.8808,-10.0467,77.76,89,86,6.91
216,Buraydah,SA,2021-12-04 02:50:34,26.326,43.975,50.45,45,100,4.99
217,Souillac,MU,2021-12-04 02:50:35,-20.5167,57.5167,80.37,88,20,3.44
218,Santiago Del Estero,AR,2021-12-04 02:50:35,-27.7951,-64.2615,83.12,39,100,5.66
219,Harper,LR,2021-12-04 02:50:35,4.375,-7.7169,78.58,86,100,7.45
220,Brae,GB,2021-12-04 02:50:35,60.3964,-1.353,40.91,74,94,5.88
221,Chadiza,ZM,2021-12-04 02:50:36,-14.0678,32.4392,67.53,58,0,3.49
222,Port Hedland,AU,2021-12-04 02:50:36,-20.3167,118.5667,111.25,8,11,10.36
223,Rocha,UY,2021-12-04 02:49:27,-34.4833,-54.3333,57.78,94,62,5.23
224,Sturgis,US,2021-12-04 02:50:36,41.7992,-85.4192,37.44,57,40,0.0
225,Grindavik,IS,2021-12-04 02:50:37,63.8424,-22.4338,26.55,93,75,6.91
226,Tsalenjikha,GE,2021-12-04 02:50:37,42.6044,42.0682,34.02,52,58,6.38
227,Trinidad,BO,2021-12-04 02:50:37,-14.8333,-64.9,75.42,93,92,3.4
228,Cavalcante,BR,2021-12-04 02:50:37,-13.7975,-47.4583,68.65,94,100,1.3
229,Ambilobe,MG,2021-12-04 02:50:38,-13.2,49.05,75.29,72,72,3.15
230,Hualmay,PE,2021-12-04 02:50:38,-11.0964,-77.6139,66.34,86,100,10.02
231,Roros,NO,2021-12-04 02:50:38,62.5747,11.3842,12.04,73,90,5.75
232,Bow Island,CA,2021-12-04 02:51:39,49.8668,-111.3684,24.01,80,100,0.0
233,Longyearbyen,SJ,2021-12-04 02:51:39,78.2186,15.6401,28.87,89,100,11.83
234,Yanam,IN,2021-12-04 02:51:39,16.7333,82.2167,81.0,66,100,3.76
235,Peleduy,RU,2021-12-04 02:51:39,59.6289,112.7406,29.17,94,100,15.64
236,Vadso,NO,2021-12-04 02:51:40,70.0744,29.7487,4.08,83,89,6.51
237,Juquia,BR,2021-12-04 02:51:40,-24.3208,-47.6347,63.01,98,25,0.65
238,Kahului,US,2021-12-04 02:51:40,20.8947,-156.47,73.42,90,90,21.85
239,Adrar,MR,2021-12-04 02:51:41,20.5022,-10.0711,64.2,21,100,10.38
240,Holme,DK,2021-12-04 02:51:41,56.1138,10.1725,38.64,93,5,9.82
241,Hilo,US,2021-12-04 02:49:43,19.7297,-155.09,78.28,89,100,4.0
242,Saint Marys,US,2021-12-04 02:49:30,30.7305,-81.5465,62.62,90,1,4.0
243,Saint-Louis,SN,2021-12-04 02:51:41,16.3333,-15.0,73.44,17,78,10.29
244,Avera,US,2021-12-04 02:51:42,33.194,-82.5271,67.87,51,100,6.76
245,Kaeo,NZ,2021-12-04 02:51:42,-35.1,173.7833,70.32,85,100,7.96
246,Tiznit,MA,2021-12-04 02:51:42,29.5833,-9.5,53.4,41,0,4.54
247,Camacha,PT,2021-12-04 02:51:42,33.0833,-16.3333,60.53,67,75,11.5
248,Pangnirtung,CA,2021-12-04 02:51:43,66.1451,-65.7125,12.34,74,100,8.46
249,Chapais,CA,2021-12-04 02:51:43,49.7834,-74.8492,4.78,95,100,8.52
250,Along,IN,2021-12-04 02:51:43,28.1667,94.7667,68.9,54,91,0.83
251,Fortuna,US,2021-12-04 02:47:14,40.5982,-124.1573,51.93,75,90,1.99
252,Nargana,PA,2021-12-04 02:51:44,9.4428,-78.5906,80.76,84,94,12.68
253,Cap Malheureux,MU,2021-12-04 02:51:44,-19.9842,57.6142,80.47,69,22,5.99
254,Aquiraz,BR,2021-12-04 02:51:44,-3.9014,-38.3911,84.22,71,70,10.02
255,Tasiilaq,GL,2021-12-04 02:51:44,65.6145,-37.6368,10.38,58,0,5.79
256,Margate,GB,2021-12-04 02:51:45,51.3813,1.3862,43.88,86,12,4.43
257,Salalah,OM,2021-12-04 02:51:45,17.0151,54.0924,71.71,60,0,5.21
258,Erzin,TR,2021-12-04 02:51:45,36.9559,36.2,48.72,51,100,6.31
259,Leshukonskoye,RU,2021-12-04 02:51:45,64.8989,45.7622,-4.67,98,27,4.85
260,Concepcion Del Uruguay,AR,2021-12-04 02:51:46,-32.4825,-58.2372,70.99,68,72,1.01
261,Renqiu,CN,2021-12-04 02:51:46,38.6989,116.0936,46.98,33,0,2.86
